assembly_accession,sample_name
GCA_041900255.1,HG00408_pat
GCA_041900365.1,HG00597_pat
GCA_041900145.1,HG01192_pat
GCA_041900235.1,HG01261_pat
GCA_041900165.1,HG02015_pat
GCA_041900085.1,HG02056_pat
GCA_041899985.1,HG02129_pat
GCA_041899975.1,HG02258_pat
GCA_041899965.1,HG03834_pat
GCA_046000135.1,HG01975_pat
GCA_046000095.1,HG02602_pat
GCA_046000115.1,HG04187_pat
GCA_046000005.1,NA18879_pat
GCA_046000145.1,NA20752_pat
GCA_018852595.2,HG02145_pat
GCA_042027545.1,HG00609_pat
GCA_042028805.1,HG00642_pat
GCA_042028835.1,HG00738_pat
GCA_042027475.1,HG01099_pat
GCA_042029915.1,HG01255_pat
GCA_042028795.1,HG01346_pat
GCA_042028645.1,HG01433_pat
GCA_042027595.1,HG01496_pat
GCA_042028275.1,HG01884_pat
GCA_042027505.1,HG01981_pat
GCA_042028705.1,HG01993_pat
GCA_042027455.1,HG02004_pat
GCA_042030215.1,HG02027_pat
GCA_042030135.1,HG02083_pat
GCA_042030125.1,HG02132_pat
GCA_042027485.1,HG02280_pat
GCA_042027495.1,HG02293_pat
GCA_042028475.1,HG02300_pat
GCA_042027135.1,HG02451_pat
GCA_042030115.1,HG02523_pat
GCA_042029935.1,HG02615_pat
GCA_042028775.1,HG02647_pat
GCA_042030045.1,HG02698_pat
GCA_042030035.1,HG03654_pat
GCA_042029925.1,HG03669_pat
GCA_042030025.1,HG03688_pat
GCA_042027445.1,HG03704_pat
GCA_042030055.1,HG03710_pat
GCA_042028725.1,HG03831_pat
GCA_042028845.1,HG03927_pat
GCA_042029955.1,HG04115_pat
GCA_042028635.1,HG04184_pat
GCA_042030015.1,HG04199_pat
GCA_046056435.1,HG02738_pat
GCA_018472575.2,HG00621_pat
GCA_018471105.2,HG00741_pat
GCA_018471075.2,HG01106_pat
GCA_018471065.2,HG01175_pat
GCA_018469675.2,HG01258_pat
GCA_018467165.2,HG01891_pat
GCA_018471555.2,HG01952_pat
GCA_018471525.2,HG02148_pat
GCA_018467005.2,HG02486_pat
GCA_018466855.2,HG02559_pat
GCA_018470435.2,HG02572_pat
GCA_018469925.2,HG02622_pat
GCA_018470465.2,HG02886_pat
GCA_018473305.2,HG03453_pat
GCA_018473315.2,HG03540_pat
GCA_042032525.1,HG00099_pat
GCA_042031265.1,HG00140_pat
GCA_042031275.1,HG00280_pat
GCA_042032465.1,HG00323_pat
GCA_042032555.1,HG02040_pat
GCA_042032565.1,HG02165_pat
GCA_042031155.1,HG02273_pat
GCA_042031165.1,HG02922_pat
GCA_042032535.1,HG02965_pat
GCA_042031255.1,HG02976_pat
GCA_042032345.1,HG03130_pat
GCA_042031175.1,HG03195_pat
GCA_042032445.1,HG03209_pat
GCA_042031325.1,NA18522_pat
GCA_042031315.1,NA18747_pat
GCA_042032395.1,NA18971_pat
GCA_042032545.1,NA18983_pat
GCA_042031205.1,NA19043_pat
GCA_042032625.1,NA20905_pat
GCA_042034285.1,HG01530_pat
GCA_042034305.1,HG01784_pat
GCA_042034315.1,HG02391_pat
GCA_042034215.1,HG03471_pat
GCA_042034325.1,HG03742_pat
GCA_042034345.1,NA18570_pat
GCA_042034335.1,NA19087_pat
GCA_042035275.1,NA19185_pat
GCA_042035195.1,NA19338_pat
GCA_042035185.1,NA19391_pat
GCA_042035225.1,NA19468_pat
GCA_018472595.2,HG00438_pat
GCA_042037725.1,HG00558_pat
GCA_042037765.1,HG00639_pat
GCA_042037975.1,HG00658_pat
GCA_018472585.2,HG00673_pat
GCA_018472725.2,HG01071_pat
GCA_042037995.1,HG01074_pat
GCA_042037825.1,HG01081_pat
GCA_018469695.2,HG01123_pat
GCA_042037855.1,HG01150_pat
GCA_042038865.1,HG01252_pat
GCA_018469965.2,HG01358_pat
GCA_018469705.2,HG01361_pat
GCA_018472705.2,HG01928_pat
GCA_042038875.1,HG01934_pat
GCA_042037875.1,HG01940_pat
GCA_042037895.1,HG01960_pat
GCA_042037885.1,HG01969_pat
GCA_018472845.2,HG01978_mat
GCA_042036435.1,HG02071_pat
GCA_042036445.1,HG02074_pat
GCA_042036495.1,HG02135_pat
GCA_018466835.2,HG02257_mat
GCA_042038895.1,HG02668_pat
GCA_018470425.2,HG02717_pat
GCA_042036525.1,HG02809_pat
GCA_042038885.1,HG03017_pat
GCA_042037905.1,HG03041_pat
GCA_042037925.1,HG03239_pat
GCA_018469415.2,HG03516_mat
GCA_042036515.1,HG03804_pat
GCA_042036505.1,HG03942_pat
GCA_042036535.1,HG04157_pat
GCA_042036805.1,HG04160_pat
GCA_042036795.1,HG04204_pat
GCA_042036925.1,HG04228_pat
GCA_046116065.1,HG00706_pat
GCA_046116025.1,HG03816_pat
GCA_042076665.1,HG00423_pat
GCA_042076675.1,HG00544_pat
GCA_042076525.1,HG01943_pat
GCA_042076445.1,HG02735_pat
