genbank_accession,file,path,IG_TR_gene_Coverage,IG_TR_gene_Percent_id,IG_TR_gene_Problematic,IG_TR_gene_mapped,IG_TR_gene_percentage,IG_TR_gene_total,IG_TR_pseudogene_Coverage,IG_TR_pseudogene_Percent_id,IG_TR_pseudogene_Problematic,IG_TR_pseudogene_mapped,IG_TR_pseudogene_percentage,IG_TR_pseudogene_total,TEC_Coverage,TEC_Percent_id,TEC_Problematic,TEC_mapped,TEC_percentage,TEC_total,artifact_Coverage,artifact_Percent_id,artifact_Problematic,artifact_mapped,artifact_percentage,artifact_total,lncRNA_Coverage,lncRNA_Percent_id,lncRNA_Problematic,lncRNA_mapped,lncRNA_percentage,lncRNA_total,miRNA_Coverage,miRNA_Percent_id,miRNA_Problematic,miRNA_mapped,miRNA_percentage,miRNA_total,misc_RNA_Coverage,misc_RNA_Percent_id,misc_RNA_Problematic,misc_RNA_mapped,misc_RNA_percentage,misc_RNA_total,non_stop_decay_Coverage,non_stop_decay_Percent_id,non_stop_decay_Problematic,non_stop_decay_mapped,non_stop_decay_percentage,non_stop_decay_total,nonsense_mediated_decay_Coverage,nonsense_mediated_decay_Percent_id,nonsense_mediated_decay_Problematic,nonsense_mediated_decay_mapped,nonsense_mediated_decay_percentage,nonsense_mediated_decay_total,processed_pseudogene_Coverage,processed_pseudogene_Percent_id,processed_pseudogene_Problematic,processed_pseudogene_mapped,processed_pseudogene_percentage,processed_pseudogene_total,processed_transcript_Coverage,processed_transcript_Percent_id,processed_transcript_Problematic,processed_transcript_mapped,processed_transcript_percentage,processed_transcript_total,protein_coding_CDS_not_defined_Coverage,protein_coding_CDS_not_defined_Percent_id,protein_coding_CDS_not_defined_Problematic,protein_coding_CDS_not_defined_mapped,protein_coding_CDS_not_defined_percentage,protein_coding_CDS_not_defined_total,protein_coding_Coverage,protein_coding_LoF_Coverage,protein_coding_LoF_Percent_id,protein_coding_LoF_Problematic,protein_coding_LoF_mapped,protein_coding_LoF_percentage,protein_coding_LoF_total,protein_coding_Percent_id,protein_coding_Problematic,protein_coding_mapped,protein_coding_percentage,protein_coding_total,pseudogene_Coverage,pseudogene_Percent_id,pseudogene_Problematic,pseudogene_mapped,pseudogene_percentage,pseudogene_total,rRNA_Coverage,rRNA_Percent_id,rRNA_Problematic,rRNA_mapped,rRNA_percentage,rRNA_pseudogene_Coverage,rRNA_pseudogene_Percent_id,rRNA_pseudogene_Problematic,rRNA_pseudogene_mapped,rRNA_pseudogene_percentage,rRNA_pseudogene_total,rRNA_total,retained_intron_Coverage,retained_intron_Percent_id,retained_intron_Problematic,retained_intron_mapped,retained_intron_percentage,retained_intron_total,ribozyme_Coverage,ribozyme_Percent_id,ribozyme_Problematic,ribozyme_mapped,ribozyme_percentage,ribozyme_total,sRNA_Coverage,sRNA_Percent_id,sRNA_Problematic,sRNA_mapped,sRNA_percentage,sRNA_total,scRNA_Coverage,scRNA_Percent_id,scRNA_Problematic,scRNA_mapped,scRNA_percentage,scRNA_total,scaRNA_Coverage,scaRNA_Percent_id,scaRNA_Problematic,scaRNA_mapped,scaRNA_percentage,scaRNA_total,snRNA_Coverage,snRNA_Percent_id,snRNA_Problematic,snRNA_mapped,snRNA_percentage,snRNA_total,snoRNA_Coverage,snoRNA_Percent_id,snoRNA_Problematic,snoRNA_mapped,snoRNA_percentage,snoRNA_total,unitary_pseudogene_Coverage,unitary_pseudogene_Percent_id,unitary_pseudogene_Problematic,unitary_pseudogene_mapped,unitary_pseudogene_percentage,unitary_pseudogene_total,unprocessed_pseudogene_Coverage,unprocessed_pseudogene_Percent_id,unprocessed_pseudogene_Problematic,unprocessed_pseudogene_mapped,unprocessed_pseudogene_percentage,unprocessed_pseudogene_total,vault_RNA_Coverage,vault_RNA_Percent_id,vault_RNA_Problematic,vault_RNA_mapped,vault_RNA_percentage,vault_RNA_total
GCA_41900255.1,GCA_041900255.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_041900255.1/GCA_041900255.1_mapping_stats.mapping_stats.txt,99.86,99.63,4,394,93.81,420,99.96,99.85,0,233,98.31,237,99.91,99.87,2,1102,99.55,1107,100,99.98,0,7,36.84,19,99.88,99.86,555,184354,98.55,187074,99.95,99.9,3,1862,99.2,1877,99.86,99.85,5,2197,99.46,2209,99.99,99.93,0,102,100,102,99.99,99.95,9,21081,99.79,21126,99.93,99.87,13,10451,99.46,10508,100,99.88,0,5,100,5,99.98,99.94,13,26270,99.82,26318,99.97,99.95,99.83,0,74,100,74,99.94,54,88865,99.76,89075,100,99.73,0,4,100,4,99.88,98.83,1,52,98.11,99.97,99.87,1,489,100,489,53,99.97,99.94,15,33982,99.86,34029,100,99.92,0,8,100,8,100,99.87,0,5,100,5,98.49,98.98,0,1,100,1,100,99.95,0,49,100,49,99.93,99.89,2,1879,99.26,1893,99.98,99.89,1,936,99.68,939,99.84,99.86,2,259,100,259,99.71,99.74,25,3236,97.68,3313,100,100,0,4,100,4
GCA_41900365.1,GCA_041900365.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_041900365.1/GCA_041900365.1_mapping_stats.mapping_stats.txt,99.98,99.77,3,403,95.95,420,99.35,99.29,3,229,96.62,237,99.88,99.88,2,1104,99.73,1107,100,99.98,0,7,36.84,19,99.84,99.8,671,185413,99.11,187074,99.99,99.92,2,1867,99.47,1877,99.91,99.86,2,2203,99.73,2209,100,99.94,0,102,100,102,99.95,99.95,16,21099,99.87,21126,99.93,99.87,13,10465,99.59,10508,100,99.86,0,5,100,5,99.98,99.94,7,26299,99.93,26318,99.96,99.86,99.7,1,74,100,74,99.94,68,88961,99.87,89075,100,99.94,0,4,100,4,100,99.9,0,52,98.11,99.96,99.88,1,489,100,489,53,99.98,99.94,13,33999,99.91,34029,100,99.91,0,8,100,8,100,100,0,5,100,5,98.01,98.98,0,1,100,1,100,99.95,0,49,100,49,99.92,99.89,3,1876,99.1,1893,99.91,99.86,2,937,99.79,939,99.97,99.89,0,259,100,259,99.53,99.68,26,3263,98.49,3313,100,99.72,0,4,100,4
GCA_41900145.1,GCA_041900145.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_041900145.1_mapping_stats.mapping_stats.txt,99.87,99.58,3,386,91.9,420,99.97,99.8,0,230,97.05,237,99.93,99.87,1,1089,99.82,1091,100,99.97,0,7,36.84,19,99.79,99.85,1008,181504,98.76,183790,99.99,99.92,1,1748,99.26,1761,99.95,99.88,1,2107,99.53,2117,100,99.94,0,104,100,104,99.98,99.94,13,20519,99.84,20552,99.95,99.87,8,9877,99.42,9935,100,99.8,0,5,100,5,99.98,99.94,7,25522,99.89,25550,99.97,99.91,99.82,0,73,100,73,99.94,60,85769,99.82,85925,100,99.7,0,3,75,4,99.97,98.68,1,50,98.04,99.81,99.88,1,476,99.79,477,51,99.92,99.93,32,33126,99.85,33175,100,99.95,0,8,100,8,100,100,0,5,100,5,99.5,99.5,0,1,100,1,100,99.92,0,48,100,48,99.93,99.9,2,1804,98.8,1826,99.95,99.83,2,892,99.55,896,99.97,99.87,0,250,100,250,99.7,99.7,23,3332,97.51,3417,100,100,0,4,100,4
GCA_41900235.1,GCA_041900235.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_041900235.1_mapping_stats.mapping_stats.txt,99.94,99.71,5,402,95.71,420,99.88,99.36,2,231,97.47,237,99.92,99.87,2,1089,99.82,1091,100,99.94,0,7,36.84,19,99.8,99.84,811,180865,98.41,183790,99.94,99.9,3,1749,99.32,1761,99.89,99.86,4,2099,99.15,2117,100,99.93,0,104,100,104,99.94,99.95,18,20509,99.79,20552,99.95,99.87,12,9880,99.45,9935,100,99.85,0,5,100,5,99.98,99.94,15,25507,99.83,25550,99.96,99.96,99.76,1,73,100,73,99.94,69,85760,99.81,85925,100,99.88,0,4,100,4,99.63,98.88,1,50,98.04,99.8,99.88,1,475,99.58,477,51,99.92,99.93,34,33114,99.82,33175,100,99.71,0,8,100,8,100,100,0,5,100,5,99.5,99.5,0,1,100,1,100,99.96,0,48,100,48,99.93,99.9,2,1805,98.85,1826,99.94,99.83,2,894,99.78,896,99.97,99.9,0,250,100,250,99.64,99.7,25,3333,97.54,3417,100,100,0,4,100,4
GCA_41900165.1,GCA_041900165.1_mapping_stats.mapping_stats.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_41900085.1,GCA_041900085.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_041900085.1/GCA_041900085.1_mapping_stats.mapping_stats.txt,99.94,99.76,5,383,91.19,420,99.76,99.3,2,227,95.78,237,99.83,99.85,2,1086,99.54,1091,100,99.95,0,7,36.84,19,99.88,99.85,531,181389,98.69,183790,99.99,99.92,2,1750,99.38,1761,99.99,99.9,0,2104,99.39,2117,100,99.93,0,104,100,104,99.95,99.94,15,20511,99.8,20552,99.94,99.87,11,9880,99.45,9935,100,99.81,0,5,100,5,99.98,99.94,9,25518,99.87,25550,99.95,99.91,99.84,0,72,98.63,73,99.93,96,85751,99.8,85925,99.86,99.75,0,4,100,4,100,99.87,0,49,96.08,99.8,99.91,1,476,99.79,477,51,99.92,99.92,40,33130,99.86,33175,100,99.79,0,8,100,8,100,100,0,5,100,5,100,99.5,0,1,100,1,100,99.94,0,47,97.92,48,99.93,99.89,2,1803,98.74,1826,99.95,99.84,2,893,99.67,896,99.9,99.88,1,250,100,250,99.53,99.64,22,3348,97.98,3417,100,99.72,0,4,100,4
GCA_41899985.1,GCA_041899985.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_041899985.1/GCA_041899985.1_mapping_stats.mapping_stats.txt,99.44,99.54,3,342,81.43,420,99.74,99.34,2,212,89.45,237,99.94,99.88,1,1087,99.63,1091,100,99.96,0,7,36.84,19,99.86,99.86,602,182102,99.08,183790,99.99,99.92,1,1748,99.26,1761,99.95,99.88,1,2105,99.43,2117,100,99.93,0,104,100,104,99.94,99.94,17,20518,99.83,20552,99.92,99.88,12,9881,99.46,9935,100,99.94,0,5,100,5,99.98,99.94,8,25533,99.93,25550,99.96,99.95,99.8,0,73,100,73,99.94,76,85779,99.83,85925,100,99.72,0,2,50,4,100,99.86,0,50,98.04,99.98,99.88,0,475,99.58,477,51,99.97,99.94,16,33135,99.88,33175,100,99.87,0,8,100,8,100,99.87,0,5,100,5,99.5,99.5,0,1,100,1,100,99.96,0,48,100,48,99.93,99.9,2,1809,99.07,1826,99.94,99.83,2,894,99.78,896,99.95,99.89,0,250,100,250,99.63,99.71,23,3338,97.69,3417,100,100,0,4,100,4
GCA_41899975.1,GCA_041899975.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_041899975.1_mapping_stats.mapping_stats.txt,99.76,99.67,4,382,90.95,420,99.87,99.34,2,227,95.78,237,99.86,99.86,2,1088,99.73,1091,100,99.93,0,7,36.84,19,99.88,99.84,535,181128,98.55,183790,99.98,99.9,1,1750,99.38,1761,99.92,99.87,3,2106,99.48,2117,100,99.92,0,104,100,104,99.95,99.94,18,20521,99.85,20552,99.95,99.87,7,9857,99.21,9935,100,99.76,0,5,100,5,99.98,99.93,10,25526,99.91,25550,99.95,99.98,99.79,0,73,100,73,99.92,81,85757,99.8,85925,100,99.71,0,4,100,4,100,99.85,0,50,98.04,99.83,99.85,1,477,100,477,51,99.98,99.93,10,33135,99.88,33175,100,99.87,0,8,100,8,98.93,97.46,1,5,100,5,99.5,99.5,0,1,100,1,100,99.96,0,48,100,48,99.94,99.88,1,1799,98.52,1826,99.98,99.87,1,893,99.67,896,99.88,99.88,1,250,100,250,99.7,99.74,22,3331,97.48,3417,100,100,0,4,100,4
GCA_41899965.1,GCA_041899965.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_041899965.1/GCA_041899965.1_mapping_stats.mapping_stats.txt,99.75,99.56,4,385,91.67,420,99.98,99.8,0,233,98.31,237,99.91,99.87,1,1106,99.91,1107,100,99.96,0,8,42.11,19,99.88,99.86,470,184440,98.59,187074,99.99,99.91,3,1866,99.41,1877,99.95,99.88,2,2190,99.14,2209,100,99.94,0,101,99.02,102,99.97,99.94,27,21069,99.73,21126,99.95,99.87,7,10437,99.32,10508,100,99.91,0,5,100,5,99.98,99.94,12,26264,99.79,26318,99.96,99.98,99.76,1,73,98.65,74,99.93,79,88854,99.75,89075,100,99.9,0,4,100,4,100,99.87,0,52,98.11,99.96,99.88,0,488,99.8,489,53,99.95,99.92,30,33959,99.79,34029,100,99.95,0,8,100,8,100,100,0,5,100,5,100,99.5,0,1,100,1,100,99.98,0,48,97.96,49,99.93,99.89,2,1876,99.1,1893,99.95,99.82,2,937,99.79,939,99.76,99.89,1,258,99.61,259,99.63,99.7,27,3239,97.77,3313,100,100,0,4,100,4
GCA_46000135.1,GCA_046000135.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_046000135.1/GCA_046000135.1_mapping_stats.mapping_stats.txt,99.93,99.66,3,409,97.38,420,99.77,99.38,2,233,98.31,237,99.87,99.88,3,1104,99.73,1107,100,99.95,0,7,36.84,19,99.82,99.85,757,184962,98.87,187074,99.99,99.92,2,1865,99.36,1877,99.98,99.9,0,2197,99.46,2209,100,99.94,0,102,100,102,99.98,99.94,13,21075,99.76,21126,99.93,99.87,14,10453,99.48,10508,100,99.76,0,5,100,5,99.97,99.94,15,26260,99.78,26318,99.96,99.9,99.78,0,74,100,74,99.93,82,88873,99.77,89075,99.96,99.81,0,4,100,4,100,99.88,0,53,100,99.96,99.9,0,487,99.59,489,53,99.96,99.93,26,33984,99.87,34029,100,99.91,0,8,100,8,100,100,0,5,100,5,99.5,99.5,0,1,100,1,100,99.98,0,48,97.96,49,99.94,99.9,1,1872,98.89,1893,99.97,99.87,1,937,99.79,939,99.56,99.87,4,258,99.61,259,99.64,99.68,24,3237,97.71,3313,100,99.72,0,4,100,4
