# Assembly name:  HG00408_pat_hprc_rel2
# Organism name:  Homo sapiens (human)
# Isolate:  HG00408
# Sex:  female
# Taxid:          9606
# BioSample:      SAMN33621943
# BioProject:     PRJNA1153491
# Submitter:      UCSC Genomics Institute
# Date:           2024-09-11
# Assembly type:  haploid (paternal haplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JBHDVK01
# Assembly method: Hifiasm v. 0.19.7
# Expected final version: no
# Genome coverage: 63x
# Sequencing technology: PacBio; Oxford Nanopore
# GenBank assembly accession: GCA_041900255.1
# Linked assembly: GCA_041900245.1 (maternal haplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_041900345.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
HG00408#1#h1tg000022l	assembled-molecule	2	Chromosome	CM085953.1	<>	na	Primary Assembly	242990533	na
HG00408#1#h1tg000011l	assembled-molecule	3	Chromosome	CM085954.1	<>	na	Primary Assembly	201061422	na
HG00408#1#h1tg000005l	assembled-molecule	5	Chromosome	CM085955.1	<>	na	Primary Assembly	183017961	na
HG00408#1#h1tg000012l	assembled-molecule	6	Chromosome	CM085956.1	<>	na	Primary Assembly	172821162	na
HG00408#1#h1tg000027l	assembled-molecule	8	Chromosome	CM085957.1	<>	na	Primary Assembly	146077181	na
HG00408#1#h1tg000009l	assembled-molecule	9	Chromosome	CM085958.1	<>	na	Primary Assembly	133654424	na
HG00408#1#h1tg000008l	assembled-molecule	11	Chromosome	CM085959.1	<>	na	Primary Assembly	136776016	na
HG00408#1#h1tg000017l	assembled-molecule	12	Chromosome	CM085960.1	<>	na	Primary Assembly	134954437	na
HG00408#1#h1tg000010l	assembled-molecule	16	Chromosome	CM085961.1	<>	na	Primary Assembly	91524693	na
HG00408#1#h1tg000006l	assembled-molecule	18	Chromosome	CM085962.1	<>	na	Primary Assembly	80492734	na
HG00408#1#h1tg000028l	assembled-molecule	19	Chromosome	CM085963.1	<>	na	Primary Assembly	61061584	na
HG00408#1#h1tg000023l	assembled-molecule	20	Chromosome	CM085964.1	<>	na	Primary Assembly	65810583	na
HG00408#1#h1tg000001l	unplaced-scaffold	na	na	JBHDVK010000001.1	<>	na	Primary Assembly	103422031	na
HG00408#1#h1tg000003l	unplaced-scaffold	na	na	JBHDVK010000002.1	<>	na	Primary Assembly	130335100	na
HG00408#1#h1tg000013l	unplaced-scaffold	na	na	JBHDVK010000007.1	<>	na	Primary Assembly	109731761	na
HG00408#1#h1tg000014l	unplaced-scaffold	na	na	JBHDVK010000008.1	<>	na	Primary Assembly	100955828	na
HG00408#1#h1tg000016l	unplaced-scaffold	na	na	JBHDVK010000009.1	<>	na	Primary Assembly	62436899	na
HG00408#1#h1tg000018l	unplaced-scaffold	na	na	JBHDVK010000011.1	<>	na	Primary Assembly	42227753	na
HG00408#1#h1tg000019l	unplaced-scaffold	na	na	JBHDVK010000012.1	<>	na	Primary Assembly	193627033	na
HG00408#1#h1tg000020l	unplaced-scaffold	na	na	JBHDVK010000013.1	<>	na	Primary Assembly	452708	na
HG00408#1#h1tg000021l	unplaced-scaffold	na	na	JBHDVK010000014.1	<>	na	Primary Assembly	101022985	na
HG00408#1#h1tg000025l	unplaced-scaffold	na	na	JBHDVK010000015.1	<>	na	Primary Assembly	58387571	na
HG00408#1#h1tg000029l	unplaced-scaffold	na	na	JBHDVK010000018.1	<>	na	Primary Assembly	41630520	na
HG00408#1#h1tg000031l	unplaced-scaffold	na	na	JBHDVK010000019.1	<>	na	Primary Assembly	1974389	na
HG00408#1#h1tg000032l	unplaced-scaffold	na	na	JBHDVK010000020.1	<>	na	Primary Assembly	5692624	na
HG00408#1#h1tg000034l	unplaced-scaffold	na	na	JBHDVK010000021.1	<>	na	Primary Assembly	6371225	na
HG00408#1#h1tg000038l	unplaced-scaffold	na	na	JBHDVK010000022.1	<>	na	Primary Assembly	1740805	na
HG00408#1#h1tg000039l	unplaced-scaffold	na	na	JBHDVK010000023.1	<>	na	Primary Assembly	752478	na
HG00408#1#h1tg000042l	unplaced-scaffold	na	na	JBHDVK010000024.1	<>	na	Primary Assembly	244002	na
HG00408#1#h1tg000043l	unplaced-scaffold	na	na	JBHDVK010000025.1	<>	na	Primary Assembly	123201	na
HG00408#1#h1tg000044l	unplaced-scaffold	na	na	JBHDVK010000026.1	<>	na	Primary Assembly	139684	na
