genbank_accession,file,path,IG_TR_gene_mapped,IG_TR_gene_percentage,IG_TR_gene_total,IG_TR_pseudogene_mapped,IG_TR_pseudogene_percentage,IG_TR_pseudogene_total,TEC_mapped,TEC_percentage,TEC_total,artifact_mapped,artifact_percentage,artifact_total,lncRNA_mapped,lncRNA_percentage,lncRNA_total,miRNA_mapped,miRNA_percentage,miRNA_total,misc_RNA_mapped,misc_RNA_percentage,misc_RNA_total,processed_pseudogene_mapped,processed_pseudogene_percentage,processed_pseudogene_total,protein_coding_mapped,protein_coding_percentage,protein_coding_total,pseudogene_mapped,pseudogene_percentage,pseudogene_total,rRNA_mapped,rRNA_percentage,rRNA_pseudogene_mapped,rRNA_pseudogene_percentage,rRNA_pseudogene_total,rRNA_total,ribozyme_mapped,ribozyme_percentage,ribozyme_total,sRNA_mapped,sRNA_percentage,sRNA_total,scRNA_mapped,scRNA_percentage,scRNA_total,scaRNA_mapped,scaRNA_percentage,scaRNA_total,snRNA_mapped,snRNA_percentage,snRNA_total,snoRNA_mapped,snoRNA_percentage,snoRNA_total,unitary_pseudogene_mapped,unitary_pseudogene_percentage,unitary_pseudogene_total,unprocessed_pseudogene_mapped,unprocessed_pseudogene_percentage,unprocessed_pseudogene_total,vault_RNA_mapped,vault_RNA_percentage,vault_RNA_total
GCA_41900255.1,GCA_041900255.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_041900255.1/GCA_041900255.1_mapping_stats.mapping_stats.txt,385,93.67,411,233,98.31,237,1014,99.61,1018,7,36.84,19,34412,99.5,34584,1862,99.2,1877,2197,99.46,2209,10450,99.46,10507,19304,99.6,19381,4,100,4,52,98.11,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1879,99.26,1893,936,99.68,939,259,100,259,3234,97.67,3311,4,100,4
GCA_41900365.1,GCA_041900365.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_041900365.1/GCA_041900365.1_mapping_stats.mapping_stats.txt,398,96.84,411,229,96.62,237,1016,99.8,1018,7,36.84,19,34447,99.6,34584,1867,99.47,1877,2203,99.73,2209,10464,99.59,10507,19331,99.74,19381,4,100,4,52,98.11,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1876,99.1,1893,937,99.79,939,259,100,259,3261,98.49,3311,4,100,4
GCA_41900145.1,GCA_041900145.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_041900145.1_mapping_stats.mapping_stats.txt,377,91.73,411,230,97.05,237,1001,99.8,1003,7,36.84,19,33769,99.51,33935,1748,99.26,1761,2107,99.53,2117,9876,99.42,9934,18524,99.63,18592,3,75,4,50,98.04,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1804,98.8,1826,892,99.55,896,250,100,250,3330,97.51,3415,4,100,4
GCA_41900235.1,GCA_041900235.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_041900235.1_mapping_stats.mapping_stats.txt,393,95.62,411,231,97.47,237,1002,99.9,1003,7,36.84,19,33767,99.5,33935,1749,99.32,1761,2099,99.15,2117,9879,99.45,9934,18528,99.66,18592,4,100,4,50,98.04,475,99.58,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1805,98.85,1826,894,99.78,896,250,100,250,3331,97.54,3415,4,100,4
GCA_41900165.1,GCA_041900165.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi/hprc/v2_missing_stats/GCA_041900165.1_mapping_stats.mapping_stats.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_41900085.1,GCA_041900085.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_041900085.1/GCA_041900085.1_mapping_stats.mapping_stats.txt,378,91.97,411,227,95.78,237,999,99.6,1003,7,36.84,19,33791,99.58,33935,1750,99.38,1761,2104,99.39,2117,9879,99.45,9934,18521,99.62,18592,4,100,4,49,96.08,476,99.79,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1803,98.74,1826,893,99.67,896,250,100,250,3346,97.98,3415,4,100,4
GCA_41899985.1,GCA_041899985.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_041899985.1/GCA_041899985.1_mapping_stats.mapping_stats.txt,339,82.48,411,212,89.45,237,1000,99.7,1003,7,36.84,19,33802,99.61,33935,1748,99.26,1761,2105,99.43,2117,9880,99.46,9934,18538,99.71,18592,2,50,4,50,98.04,475,99.58,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1809,99.07,1826,894,99.78,896,250,100,250,3336,97.69,3415,4,100,4
GCA_41899975.1,GCA_041899975.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_041899975.1_mapping_stats.mapping_stats.txt,373,90.75,411,227,95.78,237,1001,99.8,1003,7,36.84,19,33762,99.49,33935,1750,99.38,1761,2106,99.48,2117,9856,99.21,9934,18521,99.62,18592,4,100,4,50,98.04,477,100,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1799,98.52,1826,893,99.67,896,250,100,250,3329,97.48,3415,4,100,4
GCA_41899965.1,GCA_041899965.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_041899965.1/GCA_041899965.1_mapping_stats.mapping_stats.txt,376,91.48,411,233,98.31,237,1018,100,1018,8,42.11,19,34427,99.55,34584,1866,99.41,1877,2190,99.14,2209,10436,99.32,10507,19295,99.56,19381,4,100,4,52,98.11,488,99.8,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1876,99.1,1893,937,99.79,939,258,99.61,259,3237,97.77,3311,4,100,4
GCA_46000135.1,GCA_046000135.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_046000135.1/GCA_046000135.1_mapping_stats.mapping_stats.txt,400,97.32,411,233,98.31,237,1016,99.8,1018,7,36.84,19,34436,99.57,34584,1865,99.36,1877,2197,99.46,2209,10452,99.48,10507,19311,99.64,19381,4,100,4,53,100,487,99.59,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1872,98.89,1893,937,99.79,939,258,99.61,259,3235,97.7,3311,4,100,4
